OrderDate,OrderNumber,ProductKey,CustomerKey,StockDate,TerritoryKey,Sum of OrderLineItem,Sum of OrderQuantity,BENEFICE,TOTAL COST,TOTAL REVENUE
2016-07-22 00:00:00,SO51522,352,11000,2003-04-12 00:00:00,9,1,1,953.5600000000002,111786,207142
2016-07-22 00:00:00,SO51522,485,11000,2003-05-02 00:00:00,9,2,2,27.52,1644,4396
2016-11-04 00:00:00,SO57418,214,11000,2003-08-17 00:00:00,9,4,1,21.9,1309,3499
2016-11-04 00:00:00,SO57418,488,11000,2003-09-06 00:00:00,9,5,1,12.420000000000002,4157,5399
2016-11-04 00:00:00,SO57418,530,11000,2003-08-11 00:00:00,9,3,2,6.24,374,998
2016-11-04 00:00:00,SO57418,541,11000,2003-08-10 00:00:00,9,2,2,36.3,2168,5798
2016-11-04 00:00:00,SO57418,573,11000,2003-09-23 00:00:00,9,1,1,902.13,148194,238407
2016-07-20 00:00:00,SO51493,223,11001,2003-07-05 00:00:00,9,6,2,5.860000000000001,1142,1728
2016-07-20 00:00:00,SO51493,352,11001,2003-05-01 00:00:00,9,1,1,953.5600000000002,111786,207142
2016-07-20 00:00:00,SO51493,477,11001,2003-04-03 00:00:00,9,3,2,6.24,374,998
2016-07-20 00:00:00,SO51493,478,11001,2003-04-07 00:00:00,9,4,1,6.25,374,999
2016-07-20 00:00:00,SO51493,485,11001,2003-05-14 00:00:00,9,2,3,41.28,2466,6594
2016-07-20 00:00:00,SO51493,491,11001,2003-05-19 00:00:00,9,5,1,12.420000000000002,4157,5399
2017-06-12 00:00:00,SO72773,215,11001,2004-03-09 00:00:00,9,4,1,21.61,1203,3364
2017-06-12 00:00:00,SO72773,477,11001,2004-03-13 00:00:00,9,2,2,6.24,374,998
2017-06-12 00:00:00,SO72773,479,11001,2004-04-18 00:00:00,9,3,1,5.630000000000001,336,899
2017-06-12 00:00:00,SO72773,604,11001,2004-03-07 00:00:00,9,1,1,196.34000000000003,34365,53999
2016-07-04 00:00:00,SO51238,358,11002,2003-04-16 00:00:00,9,1,1,943.29,110581,204910
2016-08-27 00:00:00,SO53237,220,11002,2003-07-13 00:00:00,9,2,1,21.61,1203,3364
2016-08-27 00:00:00,SO53237,561,11002,2003-05-02 00:00:00,9,1,1,902.13,148194,238407
2016-07-09 00:00:00,SO51315,223,11003,2003-04-18 00:00:00,9,4,2,5.860000000000001,1142,1728
2016-07-09 00:00:00,SO51315,360,11003,2003-06-21 00:00:00,9,1,1,943.29,110581,204910
2016-07-09 00:00:00,SO51315,477,11003,2003-06-17 00:00:00,9,3,1,3.12,187,499
2016-07-09 00:00:00,SO51315,478,11003,2003-06-09 00:00:00,9,2,1,6.25,374,999
2016-11-11 00:00:00,SO57783,480,11003,2003-08-21 00:00:00,9,4,2,2.8600000000000003,172,458
2016-11-11 00:00:00,SO57783,530,11003,2003-08-08 00:00:00,9,3,1,3.12,187,499
2016-11-11 00:00:00,SO57783,541,11003,2003-07-26 00:00:00,9,2,2,36.3,2168,5798
2016-11-11 00:00:00,SO57783,564,11003,2003-09-21 00:00:00,9,1,1,902.13,148194,238407
2016-07-26 00:00:00,SO51595,214,11004,2003-06-16 00:00:00,9,3,1,21.9,1309,3499
2016-07-26 00:00:00,SO51595,354,11004,2003-06-22 00:00:00,9,1,1,953.5600000000002,111786,207142
2016-07-26 00:00:00,SO51595,485,11004,2003-03-29 00:00:00,9,2,2,27.52,1644,4396
2016-11-02 00:00:00,SO57293,215,11004,2003-07-07 00:00:00,9,2,1,21.61,1203,3364
2016-11-02 00:00:00,SO57293,562,11004,2003-10-02 00:00:00,9,1,1,902.13,148194,238407
2016-07-27 00:00:00,SO51612,354,11005,2003-04-30 00:00:00,9,1,1,953.5600000000002,111786,207142
2016-07-27 00:00:00,SO51612,480,11005,2003-06-03 00:00:00,9,4,1,1.4300000000000002,86,229
2016-07-27 00:00:00,SO51612,528,11005,2003-05-30 00:00:00,9,3,2,6.24,374,998
2016-07-27 00:00:00,SO51612,537,11005,2003-04-24 00:00:00,9,2,1,21.91,1309,3500
2016-11-03 00:00:00,SO57361,562,11005,2003-07-12 00:00:00,9,1,1,902.13,148194,238407
2016-07-25 00:00:00,SO51581,220,11007,2003-06-08 00:00:00,9,5,1,21.61,1203,3364
2016-07-25 00:00:00,SO51581,360,11007,2003-07-10 00:00:00,9,1,1,943.29,110581,204910
2016-07-25 00:00:00,SO51581,485,11007,2003-05-17 00:00:00,9,4,2,27.52,1644,4396
2016-07-25 00:00:00,SO51581,528,11007,2003-05-13 00:00:00,9,2,2,6.24,374,998
2016-07-25 00:00:00,SO51581,537,11007,2003-06-07 00:00:00,9,3,1,21.91,1309,3500
2016-09-20 00:00:00,SO54705,214,11007,2003-08-14 00:00:00,9,2,1,21.9,1309,3499
2016-09-20 00:00:00,SO54705,564,11007,2003-08-14 00:00:00,9,1,1,902.13,148194,238407
2016-07-07 00:00:00,SO51282,360,11008,2003-04-13 00:00:00,9,1,1,943.29,110581,204910
2016-07-07 00:00:00,SO51282,477,11008,2003-03-14 00:00:00,9,2,2,6.24,374,998
2016-07-07 00:00:00,SO51282,478,11008,2003-06-12 00:00:00,9,3,2,12.5,748,1998
2016-07-07 00:00:00,SO51282,480,11008,2003-04-21 00:00:00,9,4,2,2.8600000000000003,172,458
2016-09-03 00:00:00,SO53765,214,11008,2003-08-12 00:00:00,9,2,1,21.9,1309,3499
2016-09-03 00:00:00,SO53765,561,11008,2003-08-14 00:00:00,9,1,1,902.13,148194,238407
2016-07-24 00:00:00,SO51562,358,11009,2003-05-01 00:00:00,9,1,1,943.29,110581,204910
2016-07-24 00:00:00,SO51562,480,11009,2003-06-23 00:00:00,9,2,2,2.8600000000000003,172,458
